location,label,original,fake
para#12,COMPANY,KSH INTERNATIONAL LIMITED,Acme Industries Limited
para#24,COMPANY,KSH INTERNATIONAL LIMITED,Acme Industries Limited
para#25,COMPANY,KSH International Limited,Acme Industries Limited
para#25,COMPANY,KSH International Private Limited,Northstar Corporation
para#25,COMPANY,Bhandary Metal Extrusion Private Limited,Bluewater Holdings
para#25,COMPANY,Bhandary Metal Extrusion Private Limited,Bluewater Holdings
para#27,ADDRESS,"11/3, 11/4 and 11/5, Village Birdewadi, Chakan Taluka - Khed, Pune – 410 501, Maharashtra, India","101 Oak Street, Fairview, ST 10001"
para#28,ADDRESS,"201, Tower 2, Montreal Business Centre, Off Pallod Farms, Baner, Pune – 411 045, Maharashtra, India","102 Cedar Lane, Riverside, ST 10002"
para#29,PHONE,91 20 4505 3237,+91 10000 00
para#29,PERSON,Sarthak Malvadkar,John Doe
para#30,EMAIL,cs.connect@kshinternational.com,john.parker@example.com
para#49,COMPANY,Montreal Business Centre,Summit Enterprises Ltd.
para#49,COMPANY,Tower 2,Vertex Global Limited
para#49,COMPANY,KSH International Limited,Acme Industries Limited
para#64,COMPANY,Offer Related Terms,Silverline Corp
para#80,COMPANY,General Terms and Abbreviations,Horizon Manufacturing Ltd.
para#94,COMPANY,Key Financial,Crestview Industries
para#100,COMPANY,GoI,Meridian Group
para#102,COMPANY,Financial Data,Falcon Enterprises Limited
para#103,COMPANY,Group Companies,Ironwood Holdings
para#105,COMPANY,ICAI,Pinnacle Corp
para#107,COMPANY,Ind AS,Cobalt Industries Ltd.
para#107,COMPANY,Ind AS,Cobalt Industries Ltd.
para#110,COMPANY,Restated Financial Statements,Lakeside Manufacturing
para#113,COMPANY,Ind AS,Cobalt Industries Ltd.
para#113,COMPANY,Non-GAAP Measures,Redstone Group
para#113,COMPANY,Ind AS,Cobalt Industries Ltd.
para#113,COMPANY,Ind AS,Cobalt Industries Ltd.
para#113,COMPANY,Ind AS,Cobalt Industries Ltd.
para#113,COMPANY,Capital Employed,Acme Industries Limited
para#115,COMPANY,Group Companies,Ironwood Holdings
para#115,COMPANY,CareEdge Research,Northstar Corporation
para#115,COMPANY,CareEdge Research,Northstar Corporation
para#115,COMPANY,CARE Analytics and,Bluewater Holdings
para#122,COMPANY,Indian Rupees,Summit Enterprises Ltd.
para#122,COMPANY,INR,Vertex Global Limited
para#123,COMPANY,United States Dollars,Silverline Corp
para#125,COMPANY,Krona,Horizon Manufacturing Ltd.
para#125,COMPANY,SEK,Crestview Industries
para#127,COMPANY,Time,Meridian Group
para#128,COMPANY,Indian Standard Time,Falcon Enterprises Limited
para#130,COMPANY,Indian Rupees,Summit Enterprises Ltd.
para#130,COMPANY,Indian Rupees,Summit Enterprises Ltd.
para#142,COMPANY,Reliance,Ironwood Holdings
para#143,COMPANY,Reliance,Ironwood Holdings
para#145,COMPANY,Reliance,Ironwood Holdings
para#146,COMPANY,Reliance,Ironwood Holdings
para#151,COMPANY,Reliance,Ironwood Holdings
para#154,COMPANY,Promoter Selling Shareholders,Pinnacle Corp
para#154,COMPANY,Offered Shares,Cobalt Industries Ltd.
para#154,COMPANY,Bidders,Lakeside Manufacturing
para#154,COMPANY,Promoter Selling Shareholders,Pinnacle Corp
para#167,PERSON,Waterloo Industrial Park VI Private Limited,John Smith
para#167,COMPANY,Kanchenjunga Family Trust,Redstone Group
para#167,COMPANY,Annapurna Family Trust,Acme Industries Limited
para#167,COMPANY,Broad Family Trust,Northstar Corporation
para#167,COMPANY,Makalu Family Trust,Bluewater Holdings
para#167,COMPANY,Everest Family Trust,Summit Enterprises Ltd.
para#167,COMPANY,Dhaulagiri Family Trust,Vertex Global Limited
para#167,COMPANY,Rakhi Girija Shetty,Silverline Corp
para#167,PERSON,Rohit Kushal Hegde,John Johnson
para#167,PERSON,Rajesh Kushal Hegde,John Williams
para#167,PERSON,Pushpa Kushal Hegde,John Brown
para#167,PERSON,Kushal Subbayya Hegde,John Jones
para#183,COMPANY,Promoter Group,Horizon Manufacturing Ltd.
para#184,COMPANY,Promoter Selling Shareholders,Pinnacle Corp
para#184,COMPANY,Promoter Group,Horizon Manufacturing Ltd.
para#192,COMPANY,Promoter Group,Horizon Manufacturing Ltd.
para#193,COMPANY,Equity Share,Crestview Industries
para#193,COMPANY,Promoter Group,Horizon Manufacturing Ltd.
para#193,COMPANY,Promoter Group,Horizon Manufacturing Ltd.
para#210,COMPANY,Restated Financial Statements of Assets and,Meridian Group
para#210,COMPANY,capital reserve,Falcon Enterprises Limited
para#213,COMPANY,Ind AS 33,Ironwood Holdings
